,longitude,latitude,true_airspeed,mach_number,aircraft_mass,fuel_flow,engine_efficiency,nvpm_ei_n,time,altitude
0,0.23,51.88,265.42,0.79,64641.15788,0.0,0.346,1000000000000000.0,2019-01-01 00:00:00,0.0
1,0.07252040564284726,52.03398004781589,265.42,0.79,64501.41005752324,0.6490235635738915,0.346,1000000000000000.0,2019-01-01 00:01:02,1749.7732706350305
2,-0.0849591887143055,52.187960095631766,265.42,0.79,64361.662235046475,1.298047127147783,0.346,1000000000000000.0,2019-01-01 00:02:05,3499.546541270061
3,-0.24293742270329552,52.34144150383134,265.42,0.79,64222.03742446479,1.8540220218330874,0.346,1000000000000000.0,2019-01-01 00:03:11,5249.319811992343
4,-0.40391656365805373,52.491922005158614,265.42,0.79,64083.15292257342,1.85001254946278,0.346,1000000000000000.0,2019-01-01 00:04:35,6999.093083239714
5,-0.5648957046128119,52.64240250648589,265.42,0.79,63944.268420682056,1.8460030770924725,0.346,1000000000000000.0,2019-01-01 00:05:59,8748.866354487087
6,-0.7274643613647346,52.791945249578134,265.42,0.79,63825.62830768632,1.7390717270523157,0.346,1000000000000000.0,2019-01-01 00:07:19,10000.0
7,-0.8940212625145578,52.93913506919891,265.42,0.79,63757.78326747059,1.3738997211027018,0.346,1000000000000000.0,2019-01-01 00:08:29,10000.0
8,-1.0605781636643812,53.08632488881969,265.42,0.79,63689.93822725487,1.0087277151530878,0.346,1000000000000000.0,2019-01-01 00:09:39,10000.0
9,-1.2298591363210853,53.23623877992097,265.42,0.79,63622.224086743954,0.8996986083346966,0.346,1000000000000000.0,2019-01-01 00:10:49,10000.0
10,-1.4002894541067923,53.38730201614011,265.42,0.79,63554.56517567094,0.8987417722703586,0.346,1000000000000000.0,2019-01-01 00:11:58,10000.0
11,-1.5707197718523709,53.53789434841796,265.42,0.79,63486.92883127082,0.8977852736719952,0.346,1000000000000000.0,2019-01-01 00:13:08,10000.0
12,-1.741150089308004,53.685084168038735,265.42,0.79,63419.455542185045,0.8968312134313312,0.346,1000000000000000.0,2019-01-01 00:14:18,10000.0
13,-1.9115804067636373,53.832273987659505,265.42,0.79,63351.98225309927,0.8958771531906671,0.346,1000000000000000.0,2019-01-01 00:15:27,10000.0
14,-2.0841018772246835,53.97946380743418,265.42,0.79,63284.60889804541,0.8949244250300855,0.346,1000000000000000.0,2019-01-01 00:16:50,10000.0
15,-2.2584056113237017,54.12665362734001,265.42,0.79,63217.32071552115,0.8939728321847525,0.346,1000000000000000.0,2019-01-01 00:18:23,10000.0
16,-2.43270934542272,54.27384344724585,265.42,0.79,63150.0325329969,0.8930212393394197,0.346,1000000000000000.0,2019-01-01 00:19:56,10000.0
17,-2.6107244809582446,54.42103326687855,265.42,0.79,63082.921232293986,0.8920722077045159,0.346,1000000000000000.0,2019-01-01 00:21:06,10000.0
18,-2.7889016310254973,54.56822308649932,265.42,0.79,63015.817653047765,0.8911232878746312,0.346,1000000000000000.0,2019-01-01 00:22:16,10000.0
19,-2.968537015597068,54.715412906227414,265.42,0.79,62948.78338071597,0.8901753356554738,0.346,1000000000000000.0,2019-01-01 00:23:26,10000.0
20,-3.1505875823227094,54.862602726133254,265.42,0.79,62881.86389707033,0.889228986029146,0.346,1000000000000000.0,2019-01-01 00:24:35,10000.0
21,-3.332638149048351,55.009792546039094,265.42,0.79,62814.944413424695,0.8882826364028183,0.346,1000000000000000.0,2019-01-01 00:25:45,10000.0
22,-3.5146297861646705,55.15681636574839,265.42,0.79,62775.82063012325,0.7589983228940181,0.346,1000000000000000.0,2019-01-01 00:27:06,8609.32897918586
23,-3.6966062063425555,55.30379732050745,265.42,0.79,62743.87431610682,0.5965742869655039,0.346,1000000000000000.0,2019-01-01 00:28:30,6859.55570824466
24,-3.87858262652044,55.45077827526651,265.42,0.79,62711.92800209039,0.43415025103698934,0.346,1000000000000000.0,2019-01-01 00:29:54,5109.78243730346
25,-4.067119009722958,55.59447924812299,265.42,0.79,62709.92366,0.28490163722463857,0.346,1000000000000000.0,2019-01-01 00:30:59,3360.00916923187
26,-4.256094522653943,55.7379606560891,265.42,0.79,62709.92366,0.1365349978250386,0.346,1000000000000000.0,2019-01-01 00:32:02,1610.2359013523746
